created_time,RequestID,priority,requester,category,sub_category,subject,request_status,resolved_time,resolution_hours,severity,est_per_day_cost_usd
2025-07-15 01:23:00,SR-1901957,Priority 2,Neha Sharma,IT Support,Email Access,Email Access issue reported by Neha Sharma,Closed,2025-07-18 07:11:36,77.81,High,3000
2025-05-18 06:41:00,INC-1953527,Priority 3,Ravi Verma,Network,Connectivity,Connectivity issue reported by Ravi Verma,Open,,,Medium,1000
2025-05-05 21:40:00,SR-1999922,Priority 4,George Patel,Finance,Expense Claim,Expense Claim issue reported by George Patel,Closed,2025-05-09 15:41:48,90.03,High,500
2025-05-09 10:38:00,INC-1934027,Priority 4,George Dubey,HR,Compliance,Compliance issue reported by George Dubey,Open,,,Critical,200
2025-06-12 05:47:00,SR-1937508,Priority 2,David Khan,LM Onboarding,Resource Extension,Resource Extension issue reported by David Khan,In Progress,,,Low,500
2025-04-30 04:14:00,INC-1986376,Priority 3,Priya Verma,LM Onboarding,Resource Extension,Resource Extension issue reported by Priya Verma,Pending,,,Low,500
2025-03-07 01:30:00,INC-1938052,Priority 1,Neha Wilson,Network,Firewall,Firewall issue reported by Neha Wilson,Open,,,High,3000
2025-02-27 14:37:00,SR-1962960,Priority 3,Fatima Demilian,LM Onboarding,New joinee queries,New joinee queries issue reported by Fatima Demilian,In Progress,,,Critical,10000
2025-04-17 14:36:00,SR-1951478,Priority 3,Kunal Demilian,IT Support,Email Access,Email Access issue reported by Kunal Demilian,Pending,,,Critical,500
2025-02-27 08:17:00,INC-1963946,Priority 2,Kunal Khan,Finance,Budget Request,Budget Request issue reported by Kunal Khan,Pending,,,Critical,10000
2025-02-21 15:15:00,INC-1996090,Priority 4,Sadhana Iyer,LM Onboarding,New joinee queries,New joinee queries issue reported by Sadhana Iyer,Open,,,Critical,1000
2025-05-24 18:53:00,INC-1974800,Priority 1,David Patel,Finance,Expense Claim,Expense Claim issue reported by David Patel,In Progress,,,High,10000
2025-06-10 17:32:00,INC-1932475,Priority 1,Alfarhan Fernandes,HR,Compliance,Compliance issue reported by Alfarhan Fernandes,In Progress,,,Low,200
2025-04-07 18:39:00,INC-1923913,Priority 1,George Demilian,IT Support,Software Install,Software Install issue reported by George Demilian,Pending,,,Medium,3000
2025-07-11 07:09:00,SR-1931120,Priority 4,Priya Khan,Finance,Expense Claim,Expense Claim issue reported by Priya Khan,In Progress,,,Critical,3000
2025-02-09 21:45:00,SR-1916503,Priority 3,Anjali Sharma,ACCOPS,Account Access,Account Access issue reported by Anjali Sharma,Open,,,Critical,5000
2025-02-16 03:39:00,SR-1963366,Priority 4,Fatima Sharma,IT Support,Laptop Issue,Laptop Issue issue reported by Fatima Sharma,Pending,,,High,1000
2025-06-29 18:12:00,SR-1982832,Priority 3,Fatima Khan,Facilities,Seating,Seating issue reported by Fatima Khan,Pending,,,High,10000
2025-03-27 12:06:00,SR-1928909,Priority 1,Alfarhan Sharma,LM Onboarding,New joinee queries,New joinee queries issue reported by Alfarhan Sharma,Closed,2025-03-31 13:38:24,97.54,Low,200
2025-04-16 18:56:00,INC-1963241,Priority 2,Kunal Dubey,IT Support,Email Access,Email Access issue reported by Kunal Dubey,Pending,,,Medium,1000
2025-03-15 07:49:00,INC-1982711,Priority 1,Alfarhan Khan,Network,Bandwidth,Bandwidth issue reported by Alfarhan Khan,Closed,2025-03-17 16:23:48,56.58,Medium,500
2025-05-31 19:46:00,SR-1944947,Priority 4,Ravi Fernandes,LM Onboarding,New joinee queries,New joinee queries issue reported by Ravi Fernandes,Open,,,High,5000
2025-04-16 01:03:00,SR-1901750,Priority 2,Priya Wilson,Finance,Budget Request,Budget Request issue reported by Priya Wilson,Closed,2025-04-17 11:04:48,34.03,High,500
2025-06-16 08:50:00,SR-1946089,Priority 4,Fatima Verma,Network,Connectivity,Connectivity issue reported by Fatima Verma,Pending,,,Low,1000
2025-07-09 11:30:00,SR-1973771,Priority 2,Alfarhan Sharma,LM Onboarding,Resource Extension,Resource Extension issue reported by Alfarhan Sharma,Pending,,,Low,3000
2025-05-31 00:12:00,INC-1993485,Priority 2,George Sharma,ACCOPS,Account Access,Account Access issue reported by George Sharma,Pending,,,Medium,3000
2025-04-26 01:58:00,SR-1955535,Priority 3,Neha Demilian,HR,Compliance,Compliance issue reported by Neha Demilian,Open,,,Medium,10000
2025-05-28 11:24:00,INC-1926296,Priority 3,George Sharma,Facilities,Transport,Transport issue reported by George Sharma,Pending,,,Critical,5000
2025-05-16 02:16:00,SR-1980472,Priority 3,Priya Khan,IT Support,Software Install,Software Install issue reported by Priya Khan,Open,,,High,3000
2025-04-22 14:06:00,SR-1995372,Priority 4,Kunal Fernandes,Network,Connectivity,Connectivity issue reported by Kunal Fernandes,Pending,,,High,3000
2025-06-19 05:28:00,SR-1927653,Priority 2,Neha Wilson,Finance,Expense Claim,Expense Claim issue reported by Neha Wilson,Closed,2025-06-21 03:33:24,46.09,Medium,1000
2025-02-21 07:03:00,INC-1947863,Priority 2,Sadhana Wilson,Facilities,Seating,Seating issue reported by Sadhana Wilson,Pending,,,Low,3000
2025-06-30 18:13:00,INC-1925675,Priority 2,Sadhana Fernandes,Network,Firewall,Firewall issue reported by Sadhana Fernandes,Pending,,,Medium,5000
2025-02-09 10:49:00,SR-1971459,Priority 3,Kunal Khan,Network,Firewall,Firewall issue reported by Kunal Khan,Closed,2025-02-14 02:22:36,111.56,High,200
2025-03-02 09:12:00,SR-1990207,Priority 2,David Demilian,Finance,Budget Request,Budget Request issue reported by David Demilian,Open,,,Critical,3000
2025-05-20 19:07:00,SR-1973269,Priority 2,George Patel,Facilities,Cafeteria,Cafeteria issue reported by George Patel,In Progress,,,Medium,1000
2025-03-12 15:20:00,SR-1937036,Priority 4,Ravi Khan,LM Onboarding,Resource Extension,Resource Extension issue reported by Ravi Khan,Pending,,,Medium,200
2025-06-16 12:18:00,INC-1977249,Priority 4,Ravi Demilian,IT Support,Email Access,Email Access issue reported by Ravi Demilian,Closed,2025-06-18 06:28:48,42.18,Medium,1000
2025-02-04 17:10:00,SR-1993926,Priority 4,George Singh,Finance,Invoice,Invoice issue reported by George Singh,Closed,2025-02-05 11:58:36,18.81,High,1000
2025-07-28 13:11:00,SR-1913133,Priority 1,Kunal Dubey,Facilities,Seating,Seating issue reported by Kunal Dubey,Pending,,,Medium,500
2025-02-10 18:46:00,INC-1939562,Priority 1,Kunal Singh,HR,Leave Policy,Leave Policy issue reported by Kunal Singh,Pending,,,Low,200
2025-04-09 04:25:00,INC-1966978,Priority 4,Alfarhan Verma,Facilities,Transport,Transport issue reported by Alfarhan Verma,Pending,,,High,10000
2025-06-18 22:22:00,INC-1991716,Priority 4,Anjali Verma,IT Support,Laptop Issue,Laptop Issue issue reported by Anjali Verma,In Progress,,,Critical,3000
